[2025-12-17 17:48:15,797] INFO: Сервер теплицы запущен
[2025-12-17 17:48:16,090] INFO: Сервер теплицы запущен
[2025-12-17 19:02:17,373] INFO: Данные отправлены: T=18.2°C, H=65.8%
[2025-12-17 19:02:19,365] INFO: Данные отправлены: T=17.9°C, H=64.0%
[2025-12-17 19:02:21,369] INFO: Данные отправлены: T=18.2°C, H=62.9%
[2025-12-17 19:02:23,378] INFO: Данные отправлены: T=18.2°C, H=66.4%
[2025-12-17 19:02:25,388] INFO: Данные отправлены: T=18.4°C, H=64.5%
[2025-12-17 19:02:27,391] INFO: Данные отправлены: T=18.2°C, H=67.1%
[2025-12-17 19:02:29,407] INFO: Данные отправлены: T=17.5°C, H=66.8%
[2025-12-17 19:02:56,223] INFO: Данные отправлены: T=16.6°C, H=66.5%
[2025-12-17 19:02:58,220] INFO: Данные отправлены: T=17.0°C, H=67.9%
[2025-12-17 19:03:35,214] INFO: Данные отправлены: T=16.4°C, H=68.7%
[2025-12-17 19:03:35,411] INFO: Данные отправлены: T=16.5°C, H=68.8%
[2025-12-17 19:03:37,407] INFO: Данные отправлены: T=16.0°C, H=68.3%
[2025-12-17 19:03:39,414] INFO: Данные отправлены: T=16.4°C, H=69.8%
[2025-12-17 19:03:40,137] INFO: Данные отправлены: T=15.6°C, H=70.2%
[2025-12-17 19:03:41,419] INFO: Данные отправлены: T=16.1°C, H=70.1%
[2025-12-17 19:03:43,420] INFO: Данные отправлены: T=16.3°C, H=69.4%
[2025-12-17 19:03:45,426] INFO: Данные отправлены: T=16.2°C, H=68.7%
[2025-12-17 19:03:47,430] INFO: Данные отправлены: T=16.3°C, H=70.6%
[2025-12-17 19:03:49,436] INFO: Данные отправлены: T=15.9°C, H=69.7%
[2025-12-17 19:03:51,445] INFO: Данные отправлены: T=16.5°C, H=71.8%
[2025-12-17 19:03:53,457] INFO: Данные отправлены: T=15.9°C, H=69.0%
[2025-12-17 19:03:55,450] INFO: Данные отправлены: T=15.7°C, H=69.2%
[2025-12-17 19:03:57,512] INFO: Данные отправлены: T=16.4°C, H=68.7%
[2025-12-17 19:03:59,498] INFO: Данные отправлены: T=16.0°C, H=68.9%
[2025-12-17 19:04:01,497] INFO: Данные отправлены: T=16.2°C, H=67.9%
[2025-12-17 19:04:03,504] INFO: Данные отправлены: T=16.3°C, H=71.2%
[2025-12-17 19:04:05,527] INFO: Данные отправлены: T=16.1°C, H=67.7%
[2025-12-17 19:04:07,539] INFO: Данные отправлены: T=16.6°C, H=69.7%
[2025-12-17 19:04:09,539] INFO: Данные отправлены: T=16.1°C, H=68.3%
[2025-12-17 19:04:11,540] INFO: Данные отправлены: T=15.8°C, H=69.2%
[2025-12-17 19:04:13,623] INFO: Данные отправлены: T=16.7°C, H=71.3%
[2025-12-17 19:04:15,546] INFO: Данные отправлены: T=16.5°C, H=68.3%
[2025-12-17 19:04:17,549] INFO: Данные отправлены: T=16.1°C, H=70.2%
[2025-12-17 19:04:30,956] INFO: Данные отправлены: T=16.2°C, H=66.8%
[2025-12-17 19:04:31,143] INFO: Данные отправлены: T=16.8°C, H=69.5%
[2025-12-17 19:04:33,137] INFO: Данные отправлены: T=16.9°C, H=69.1%
[2025-12-17 19:04:35,138] INFO: Данные отправлены: T=16.9°C, H=66.7%
[2025-12-17 19:04:37,141] INFO: Данные отправлены: T=16.9°C, H=65.9%
[2025-12-17 19:04:39,146] INFO: Данные отправлены: T=17.1°C, H=69.1%
[2025-12-17 19:04:41,155] INFO: Данные отправлены: T=16.6°C, H=66.6%
[2025-12-17 19:04:43,161] INFO: Данные отправлены: T=17.0°C, H=67.3%
[2025-12-17 19:04:45,169] INFO: Данные отправлены: T=17.4°C, H=66.2%
[2025-12-17 19:04:47,179] INFO: Данные отправлены: T=17.7°C, H=68.5%
[2025-12-17 19:04:49,220] INFO: Данные отправлены: T=17.8°C, H=66.6%
[2025-12-17 19:04:51,214] INFO: Данные отправлены: T=17.9°C, H=64.6%
[2025-12-17 19:04:53,225] INFO: Данные отправлены: T=17.1°C, H=65.0%
[2025-12-17 19:04:55,224] INFO: Данные отправлены: T=17.8°C, H=67.1%
[2025-12-17 19:04:57,226] INFO: Данные отправлены: T=17.2°C, H=67.5%
[2025-12-17 19:04:59,235] INFO: Данные отправлены: T=18.1°C, H=64.6%
[2025-12-17 19:05:01,238] INFO: Данные отправлены: T=17.4°C, H=65.5%
[2025-12-17 19:05:03,243] INFO: Данные отправлены: T=17.5°C, H=66.3%
[2025-12-17 19:05:05,277] INFO: Данные отправлены: T=18.2°C, H=64.2%
[2025-12-17 19:05:07,266] INFO: Данные отправлены: T=17.9°C, H=63.2%
[2025-12-17 19:05:09,270] INFO: Данные отправлены: T=18.4°C, H=66.1%
[2025-12-17 19:05:10,288] INFO: Данные отправлены: T=18.4°C, H=62.8%
[2025-12-17 19:05:11,289] INFO: Данные отправлены: T=18.4°C, H=65.7%
[2025-12-17 19:05:13,281] INFO: Данные отправлены: T=18.0°C, H=64.6%
[2025-12-17 19:05:15,292] INFO: Данные отправлены: T=18.3°C, H=61.9%
[2025-12-17 19:05:20,854] INFO: Данные отправлены: T=18.8°C, H=62.3%
[2025-12-17 19:05:21,453] INFO: Данные отправлены: T=18.7°C, H=62.6%
[2025-12-17 19:05:23,444] INFO: Данные отправлены: T=18.8°C, H=62.6%
[2025-12-17 19:05:25,447] INFO: Данные отправлены: T=19.3°C, H=64.2%
[2025-12-17 19:05:27,451] INFO: Данные отправлены: T=18.8°C, H=62.5%
[2025-12-17 19:05:29,460] INFO: Данные отправлены: T=19.7°C, H=62.5%
[2025-12-17 19:05:31,461] INFO: Данные отправлены: T=19.4°C, H=60.4%
[2025-12-17 19:05:33,466] INFO: Данные отправлены: T=19.0°C, H=59.3%
[2025-12-17 19:05:35,472] INFO: Данные отправлены: T=19.9°C, H=61.0%
[2025-12-17 19:05:37,478] INFO: Данные отправлены: T=19.7°C, H=59.3%
[2025-12-17 19:05:39,484] INFO: Данные отправлены: T=19.6°C, H=59.7%
[2025-12-17 19:05:41,506] INFO: Данные отправлены: T=19.5°C, H=59.8%
[2025-12-17 19:05:43,498] INFO: Данные отправлены: T=19.8°C, H=59.2%
[2025-12-17 19:05:45,516] INFO: Данные отправлены: T=19.9°C, H=61.2%
[2025-12-17 19:05:47,517] INFO: Данные отправлены: T=20.0°C, H=59.6%
[2025-12-17 19:05:49,514] INFO: Данные отправлены: T=20.0°C, H=59.8%
[2025-12-17 19:05:51,518] INFO: Данные отправлены: T=20.5°C, H=60.4%
[2025-12-17 19:05:53,524] INFO: Данные отправлены: T=20.9°C, H=58.8%
[2025-12-17 19:05:55,529] INFO: Данные отправлены: T=20.9°C, H=59.3%
[2025-12-17 19:05:57,539] INFO: Данные отправлены: T=20.7°C, H=56.2%
[2025-12-17 19:05:59,544] INFO: Данные отправлены: T=21.4°C, H=57.7%
[2025-12-17 19:06:01,554] INFO: Данные отправлены: T=20.7°C, H=55.5%
[2025-12-17 19:06:03,552] INFO: Данные отправлены: T=21.0°C, H=58.5%
[2025-12-17 19:06:05,582] INFO: Данные отправлены: T=21.9°C, H=55.9%
[2025-12-17 19:06:07,566] INFO: Данные отправлены: T=21.3°C, H=54.4%
[2025-12-17 19:06:09,574] INFO: Данные отправлены: T=21.3°C, H=57.3%
[2025-12-17 19:06:11,581] INFO: Данные отправлены: T=21.8°C, H=56.2%
[2025-12-17 19:06:13,586] INFO: Данные отправлены: T=21.8°C, H=55.9%
[2025-12-17 19:06:15,584] INFO: Данные отправлены: T=22.0°C, H=54.8%
[2025-12-17 19:06:17,592] INFO: Данные отправлены: T=22.5°C, H=56.0%
[2025-12-17 19:06:19,595] INFO: Данные отправлены: T=22.2°C, H=52.7%
[2025-12-17 19:06:21,599] INFO: Данные отправлены: T=22.0°C, H=54.8%
[2025-12-17 19:06:23,606] INFO: Данные отправлены: T=22.3°C, H=53.0%
[2025-12-17 19:06:25,612] INFO: Данные отправлены: T=22.3°C, H=55.1%
[2025-12-17 19:06:27,625] INFO: Данные отправлены: T=22.7°C, H=52.7%
[2025-12-17 19:06:29,628] INFO: Данные отправлены: T=22.5°C, H=53.1%
[2025-12-17 19:06:31,633] INFO: Данные отправлены: T=22.7°C, H=51.3%
[2025-12-17 19:06:33,637] INFO: Данные отправлены: T=23.7°C, H=50.4%
[2025-12-17 19:06:35,642] INFO: Данные отправлены: T=23.7°C, H=50.8%
[2025-12-17 19:06:37,643] INFO: Данные отправлены: T=23.5°C, H=52.0%
[2025-12-17 19:06:39,645] INFO: Данные отправлены: T=23.1°C, H=51.7%
[2025-12-17 19:06:41,659] INFO: Данные отправлены: T=23.9°C, H=50.1%
[2025-12-17 19:06:43,665] INFO: Данные отправлены: T=23.6°C, H=51.0%
[2025-12-17 19:06:45,664] INFO: Данные отправлены: T=24.3°C, H=52.2%
[2025-12-17 19:06:47,675] INFO: Данные отправлены: T=24.4°C, H=51.9%
[2025-12-17 19:06:49,679] INFO: Данные отправлены: T=24.5°C, H=48.0%
[2025-12-17 19:06:51,684] INFO: Данные отправлены: T=24.0°C, H=49.0%
[2025-12-17 19:06:53,686] INFO: Данные отправлены: T=24.5°C, H=47.4%
[2025-12-17 19:06:55,693] INFO: Данные отправлены: T=24.7°C, H=47.0%
[2025-12-17 19:06:57,706] INFO: Данные отправлены: T=24.7°C, H=46.7%
[2025-12-17 19:06:59,706] INFO: Данные отправлены: T=24.6°C, H=49.8%
[2025-12-17 19:07:01,713] INFO: Данные отправлены: T=24.8°C, H=48.0%
[2025-12-17 19:07:03,716] INFO: Данные отправлены: T=25.0°C, H=46.5%
[2025-12-17 19:07:05,720] INFO: Данные отправлены: T=24.6°C, H=48.5%
[2025-12-17 19:07:07,722] INFO: Данные отправлены: T=24.8°C, H=45.1%
[2025-12-17 19:07:09,730] INFO: Данные отправлены: T=24.8°C, H=46.2%
[2025-12-17 19:07:11,732] INFO: Данные отправлены: T=25.0°C, H=45.5%
[2025-12-17 19:07:13,743] INFO: Данные отправлены: T=25.7°C, H=46.1%
[2025-12-17 19:07:15,749] INFO: Данные отправлены: T=26.0°C, H=46.9%
[2025-12-17 19:07:17,753] INFO: Данные отправлены: T=25.8°C, H=44.0%
[2025-12-17 19:07:19,762] INFO: Данные отправлены: T=25.4°C, H=46.1%
[2025-12-17 19:07:21,767] INFO: Данные отправлены: T=26.2°C, H=44.7%
[2025-12-17 19:07:23,772] INFO: Данные отправлены: T=26.1°C, H=44.5%
[2025-12-17 19:07:25,777] INFO: Данные отправлены: T=26.4°C, H=45.5%
[2025-12-17 19:07:27,786] INFO: Данные отправлены: T=25.8°C, H=45.3%
[2025-12-17 19:07:29,795] INFO: Данные отправлены: T=26.5°C, H=42.6%
[2025-12-17 19:07:31,800] INFO: Данные отправлены: T=25.9°C, H=45.3%
[2025-12-17 19:07:33,805] INFO: Данные отправлены: T=26.2°C, H=42.9%
[2025-12-17 19:07:35,809] INFO: Данные отправлены: T=26.8°C, H=45.0%
[2025-12-17 19:07:37,814] INFO: Данные отправлены: T=27.0°C, H=44.1%
[2025-12-17 19:07:50,498] INFO: Данные отправлены: T=27.5°C, H=41.7%
[2025-12-17 19:07:50,693] INFO: Данные отправлены: T=27.6°C, H=40.4%
[2025-12-17 19:07:52,690] INFO: Данные отправлены: T=27.3°C, H=40.3%
[2025-12-17 19:07:54,695] INFO: Данные отправлены: T=26.8°C, H=43.8%
[2025-12-17 19:07:56,700] INFO: Данные отправлены: T=27.0°C, H=40.5%
[2025-12-17 19:07:58,705] INFO: Данные отправлены: T=27.6°C, H=42.9%
[2025-12-17 19:08:00,737] INFO: Данные отправлены: T=27.5°C, H=41.5%
[2025-12-17 19:08:02,712] INFO: Данные отправлены: T=27.7°C, H=41.2%
